section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
technical,Current QVWAP (Q2 2026) · Price σ Δ 1D,956,92,9.62,number,"{""number"": 864}","[0.1136259688594312, 0.2402694715832456, 0.2717981436103136]"
technical,Current QVWAP (Q2 2026) · VWAP Zone,956,90,9.41,string,"{""string"": 866}","[""Between -1 σ and -2 σ"", ""Between VWAP and -1 σ"", ""Near -3 σ (0.28%)""]"
technical,Current QVWAP (Q2 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[7, 5, 2]"
technical,Previous QVWAP (Q1 2026) · Running Days,956,87,9.1,integer,"{""integer"": 869}","[55, 51, 49]"
technical,Previous QVWAP (Q1 2026) · 3 σ,956,87,9.1,number,"{""number"": 869}","[12969.40435474064, 8069.962097274873, 78.54998832773114]"
technical,Previous QVWAP (Q1 2026) · 2 σ,956,87,9.1,number,"{""number"": 869}","[11695.99932368528, 7886.574755185283, 71.27947504479592]"
technical,Previous QVWAP (Q1 2026) · 1 σ,956,87,9.1,number,"{""number"": 869}","[10422.59429262993, 7703.187413095693, 64.00896176186069]"
technical,Previous QVWAP (Q1 2026) · VWAP,956,87,9.1,number,"{""number"": 869}","[9149.189261574575, 7519.800071006103, 56.73844847892547]"
technical,Previous QVWAP (Q1 2026) · -1 σ,956,87,9.1,number,"{""number"": 869}","[7875.784230519221, 7336.412728916514, 49.46793519599025]"
technical,Previous QVWAP (Q1 2026) · -2 σ,956,87,9.1,number,"{""number"": 869}","[6602.379199463866, 7153.025386826924, 42.19742191305502]"
technical,Previous QVWAP (Q1 2026) · -3 σ,956,87,9.1,number,"{""number"": 869}","[5328.974168408511, 6969.638044737334, 34.9269086301198]"
technical,Previous QVWAP (Q1 2026) · Price σ,956,87,9.1,number,"{""number"": 869}","[-0.9220862435272829, -7.333112829287479, -2.852405005242357]"
technical,Previous QVWAP (Q1 2026) · Price σ Δ 1D,956,87,9.1,integer|number,"{""integer"": 117, ""number"": 752}","[0.07852960963812394, 0.8179408583539036, 0.1375418709910234]"
technical,Previous QVWAP (Q1 2026) · VWAP Zone,956,87,9.1,string,"{""string"": 869}","[""Near -1 σ (1.26%)"", ""Below -3 σ"", ""Between -2 σ and -3 σ""]"
technical,Previous QVWAP (Q1 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[1, 16, 2]"
technical,Previous Year VWAP (2025) · Running Days,956,63,6.59,integer,"{""integer"": 893}","[236, 62, 229]"
technical,Previous Year VWAP (2025) · 3 σ,956,64,6.69,number,"{""number"": 892}","[9740.802907282246, 9683.470758798607, 114.6211652000904]"
technical,Previous Year VWAP (2025) · 2 σ,956,64,6.69,number,"{""number"": 892}","[8996.099019240948, 8845.984359431463, 93.93622226654318]"
technical,Previous Year VWAP (2025) · 1 σ,956,64,6.69,number,"{""number"": 892}","[8251.395131199652, 8008.497960064318, 73.25127933299598]"
technical,Previous Year VWAP (2025) · VWAP,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[7506.691243158355, 7171.011560697175, 52.56633639944877]"
technical,Previous Year VWAP (2025) · -1 σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[6761.987355117059, 6333.525161330032, 31.88139346590155]"
technical,Previous Year VWAP (2025) · -2 σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[6017.283467075761, 5496.038761962887, 11.19645053235434]"
technical,Previous Year VWAP (2025) · -3 σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[5272.579579034464, 4658.552362595743, -9.488492401192872]"
technical,Previous Year VWAP (2025) · Price σ,956,63,6.59,integer|number,"{""integer"": 1, ""number"": 892}","[0.628852305408771, -1.189286848657868, -0.800888668277696]"
technical,Previous Year VWAP (2025) · Price σ Δ 1D,956,64,6.69,integer|number,"{""integer"": 140, ""number"": 752}","[0.1342815602359989, 0.1791073862373758, 0.04834434415471278]"
technical,Previous Year VWAP (2025) · VWAP Zone,956,63,6.59,string,"{""string"": 893}","[""Between +1 σ and VWAP"", ""Between -1 σ and -2 σ"", ""Between VWAP and -1 σ""]"
technical,Previous Year VWAP (2025) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[2, 3, 11]"
technical,EMA 25,956,0,0.0,integer|number,"{""integer"": 5, ""number"": 951}","[8577.488887022047, 6824.008534035674, 36.63031898458553]"
technical,EMA 25 %diff,956,0,0.0,integer|number,"{""integer"": 5, ""number"": 951}","[-7.024070738624077, -9.510664161667659, -1.720757563838782]"
technical,EMA 25 Pos,956,0,0.0,string,"{""string"": 956}","[""Below"", ""Above""]"
technical,EMA 50,956,0,0.0,number,"{""number"": 956}","[9069.173869533766, 7184.599073965563, 39.28610716935268]"
technical,EMA 50 %diff,956,0,0.0,number,"{""number"": 956}","[-12.06475788505328, -14.05226740659742, -8.364552779910417]"
technical,EMA 50 Pos,956,0,0.0,string,"{""string"": 956}","[""Below"", ""Above""]"
technical,SMA 200,956,4,0.42,integer|number,"{""integer"": 87, ""number"": 865}","[8395.25, 7579.625, 50.26]"
technical,SMA 200 %diff,956,4,0.42,integer|number,"{""integer"": 78, ""number"": 874}","[-5.005806855066853, -18.5315896234972, -28.37246319140469]"
technical,SMA 200 Pos,956,4,0.42,string,"{""string"": 952}","[""Below"", ""Above""]"
technical,MA Zone,956,0,0.0,string,"{""string"": 956}","[""Below All Available MA"", ""Above EMA10 | Below EMA20, EMA25, EMA50, SMA200"", ""Above All Available MA""]"
technical,RSI 14,956,0,0.0,number,"{""number"": 956}","[38.05050110975448, 34.43339550280081, 47.53582488490366]"
technical,RSI 14 Δ 1D,956,0,0.0,integer|number,"{""integer"": 183, ""number"": 773}","[2.130268986224095, 4.368286419629413, 2.936491863050883]"
technical,RSI Status,956,0,0.0,string,"{""string"": 956}","[""Weak"", ""Neutral"", ""Oversold""]"
technical,RSI MA 14,956,0,0.0,number,"{""number"": 956}","[32.36743964717591, 28.91432284120912, 37.48943384861258]"
technical,RSI Pos,956,4,0.42,string,"{""string"": 952}","[""Above"", ""Below""]"
technical,RSI Cross,956,731,76.46,string,"{""string"": 225}","[""Golden"", ""Dead""]"
technical,Divergence Signal,956,757,79.18,string,"{""string"": 199}","[""Bearish"", ""Bullish""]"
technical,Divergence Start Date,956,757,79.18,string,"{""string"": 199}","[""12 Jan '26"", ""21 May '26"", ""02 Feb '26""]"
technical,Divergence Confirm Date,956,757,79.18,string,"{""string"": 199}","[""06 May '26"", ""08 Jun '26"", ""05 Jun '26""]"
