section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
technical,Current QVWAP (Q2 2026) · Price σ Δ 1D,956,92,9.62,number,"{""number"": 864}","[0.09315624055912863, -0.1179819354348661, -0.2020384888849014]"
technical,Current QVWAP (Q2 2026) · VWAP Zone,956,90,9.41,string,"{""string"": 866}","[""Between -1 σ and -2 σ"", ""Between VWAP and -1 σ"", ""Near -3 σ (1.03%)""]"
technical,Current QVWAP (Q2 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[7, 6, 3]"
technical,Previous QVWAP (Q1 2026) · Running Days,956,87,9.1,integer,"{""integer"": 869}","[55, 51, 49]"
technical,Previous QVWAP (Q1 2026) · 3 σ,956,87,9.1,number,"{""number"": 869}","[12969.40435474064, 8069.962097274873, 78.54998832773114]"
technical,Previous QVWAP (Q1 2026) · 2 σ,956,87,9.1,number,"{""number"": 869}","[11695.99932368528, 7886.574755185283, 71.27947504479592]"
technical,Previous QVWAP (Q1 2026) · 1 σ,956,87,9.1,number,"{""number"": 869}","[10422.59429262993, 7703.187413095693, 64.00896176186069]"
technical,Previous QVWAP (Q1 2026) · VWAP,956,87,9.1,number,"{""number"": 869}","[9149.189261574575, 7519.800071006103, 56.73844847892547]"
technical,Previous QVWAP (Q1 2026) · -1 σ,956,87,9.1,number,"{""number"": 869}","[7875.784230519221, 7336.412728916514, 49.46793519599025]"
technical,Previous QVWAP (Q1 2026) · -2 σ,956,87,9.1,number,"{""number"": 869}","[6602.379199463866, 7153.025386826924, 42.19742191305502]"
technical,Previous QVWAP (Q1 2026) · -3 σ,956,87,9.1,number,"{""number"": 869}","[5328.974168408511, 6969.638044737334, 34.9269086301198]"
technical,Previous QVWAP (Q1 2026) · Price σ,956,87,9.1,number,"{""number"": 869}","[-0.8631890362986899, -8.014730211249065, -2.98994687623338]"
technical,Previous QVWAP (Q1 2026) · Price σ Δ 1D,956,87,9.1,integer|number,"{""integer"": 153, ""number"": 716}","[0.05889720722859293, -0.6816173819615852, -0.1375418709910234]"
technical,Previous QVWAP (Q1 2026) · VWAP Zone,956,87,9.1,string,"{""string"": 869}","[""Between VWAP and -1 σ"", ""Below -3 σ"", ""Near -3 σ (0.21%)""]"
technical,Previous QVWAP (Q1 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[2, 17, 3]"
technical,Previous Year VWAP (2025) · Running Days,956,63,6.59,integer,"{""integer"": 893}","[236, 62, 229]"
